city,公司简称,公司全称,所属行业,工作地点,职位特点,薪资,经验,职位名称,firstType,secondType,职位标签,positionId,createTime
深圳,深圳吉才神网络科技有限公司,深圳吉才神网络科技有限公司,"移动互联网,金融",南山区,"团队nice,机会好",18k-35k,5-10年,数据分析师,开发/测试/运维类,数据开发,,2648118,2017-09-14 09:32:35
深圳,菁优网,深圳市菁优网络科技有限公司,"移动互联网,教育",南山区,"五险一金,周末双休,定期体检,员工旅游",2k-4k,不限,数据分析专员,运营/编辑/客服,运营,"教育,实习生,运营",2766738,2017-09-14 09:58:49
深圳,中腾信,中腾信金融信息服务（上海）有限公司,金融,南山区,"中信系,年终奖丰厚",8k-16k,不限,数据分析主管,开发/测试/运维类,数据开发,"金融,SQL,统计,SPSS,sas",3523650,2017-09-13 14:56:22
深圳,赛飞软件,深圳赛飞软件有限公司,数据服务,南山区,"精干团队,绩效奖金,各种福利",10k-15k,1-3年,数据分析师,开发/测试/运维类,数据开发,"MySQL,DBA,PostgreSQL",3579758,2017-09-07 11:25:44
深圳,新国都,深圳市新国都技术股份有限公司,"金融,硬件",南山区,上市公司+大平台+福利完善+团队氛围好,10k-20k,1-3年,数据分析师,开发/测试/运维类,数据开发,"金融,征信,大数据,数据挖掘,建模",2981086,2017-09-16 22:05:49
深圳,蓝色光标SNK,北京思恩客广告有限公司,"移动互联网,游戏",南山区,"晋升快,弹性工作,福利全,专业培训",6k-8k,1-3年,数据分析专员-调研方向,产品/需求/项目类,数据分析,"游戏,广告营销,策略,市场分析",3549191,2017-09-14 10:56:02
深圳,腾讯,腾讯科技(深圳)有限公司,"移动互联网 ,游戏",南山区,公司平台大，福利待遇好,15k-30k,3-5年,数据分析开发工程师（深圳）,开发/测试/运维类,数据开发,"高级,数据挖掘",3383251,2017-09-14 09:45:59
深圳,小库科技,深圳小库科技有限公司,移动互联网,福田区,"大牛带队,双休不打卡,氛围轻松,包午餐零食",8k-16k,不限,初级数据分析师,开发/测试/运维类,数据开发,"大数据,数据挖掘",3249562,2017-09-15 16:11:39
深圳,蓝色光标SNK,北京思恩客广告有限公司,"移动互联网,游戏",南山区,平台好,6k-8k,1-3年,数据分析师/高级数据分析师,市场/商务/销售类,市场/营销,"移动互联网,游戏,媒体,广告营销,市场",3307004,2017-09-11 15:03:36
深圳,索信达,深圳索信达数据技术股份有限公司,数据服务,南山区,五险一金、周末双休、年度旅游、职位尊重,20k-40k,5-10年,高级数据分析师/数据挖掘师,技术,后端开发,,2540143,2017-09-15 13:42:36
