city,公司简称,公司全称,所属行业,工作地点,职位特点,薪资,经验,职位名称,firstType,secondType,职位标签,positionId,createTime
上海,学霸君,上海谦问万答吧云计算科技有限公司,"移动互联网,教育",杨浦区,薪资待遇高，项目好，领导nice，带薪年病假,25k-30k,3-5年,资深数据分析师,开发/测试/运维类,数据开发,"['教育', '高级', 'SPSS', 'sas']",3335868,2017-08-29 09:40:34
上海,旅游圈,北京匹匹扣国际旅行社有限公司上海分公司,移动互联网,闸北区,"五险一金,年终奖,员工旅游",10k-15k,3-5年,高级数据分析师,开发/测试/运维类,数据开发,"['旅游', '算法', '数据挖掘', '大数据', 'SPSS']",3139144,2017-09-12 09:06:48
上海,CreditX,上海氪信信息技术有限公司,"金融,数据服务",长宁区,"AI技术,精英团队,扁平管理,弹性工作制",10k-20k,不限,数据分析师,开发/测试/运维类,数据开发,"['数据挖掘', '机器学习', '人工智能']",2790946,2017-09-01 16:50:41
上海,摩柏科技,上海摩柏网络科技有限公司,"金融,移动互联网",虹口区,"发展空间大,待遇优,环境好",18k-20k,1-3年,数据分析师,产品/需求/项目类,数据分析,"['金融', '高级', '数据挖掘', 'SPSS', 'sas']",3209580,2017-09-14 09:12:05
上海,美团点评,北京三快在线科技有限公司,"移动互联网,O2O",长宁区,"平台好,发展快",20k-40k,5-10年,高级数据分析师-金融平台,产品/需求/项目类,数据分析,"['资深', '大数据', '数据挖掘', 'SPSS']",3172063,2017-09-15 11:08:56
上海,易创云服,雨方智能科技（上海）有限公司,"企业服务,数据服务",杨浦区,"氛围好,鼓励创新",15k-20k,1-3年,数据分析师,产品/需求/项目类,数据分析,['企业服务'],2669057,2017-09-14 11:06:23
上海,Ekohe 易空海,易空海软件咨询（上海）有限公司,移动互联网,静安区,"五险一金,商业保险,带薪年假,午餐补贴",15k-30k,1-3年,Data Scientist-数据分析和挖掘工程师,开发/测试/运维类,数据开发,"['高级', '数据挖掘', '机器学习', '人工智能', 'Ruby', 'python']",3238852,2017-09-15 10:42:48
上海,水象金融,上海水象金融信息服务有限公司,"电子商务,金融",闵行区,"五险一金,年终奖金,带薪年假,节日福利",10k-20k,1-3年,数据分析师（闵行区）,开发/测试/运维类,数据开发,"['银行', '数据挖掘', '大数据', 'SPSS', 'sas']",3053837,2017-09-01 09:52:01
上海,华院数据,华院数据技术（上海）有限公司,"企业服务,数据服务",杨浦区,"五险一金,带薪年假,晋升空间大,公司前景",10k-15k,1-3年,数据分析工程师,开发/测试/运维类,数据开发,[],3250305,2017-09-15 15:19:22
上海,时年信息,上海时年信息科技有限公司,"移动互联网,游戏",,年薪15薪以上，期权股权不是梦想,10k-20k,1-3年,数据分析师,设计,用户研究,[],2394800,2017-09-14 12:52:37
上海,敬众数据,上海敬众数据处理有限公司,"电子商务,数据服务",徐汇区,"大数据,金融,征信,航旅",15K-30K,1-3年,数据分析师,产品/需求/项目类,数据分析,"['金融', '高级', '大数据', '数据挖掘', '建模']",3442165,2017-09-08 09:04:42
上海,饿了么,拉扎斯网络科技（上海）有限公司,移动互联网,普陀区,大平台，新技术。,15k-25k,3-5年,数据分析产品经理,产品/需求/项目类,产品设计/需求分析,['大数据'],2807187,2017-09-13 11:08:28
上海,上海中文,上海中文在线文化发展有限公司,"教育,移动互联网",黄浦区,"大牛亲自带,晋升空间广,团队年轻化,福利不停享",10k-15k,1-3年,数据分析工程师,开发/测试/运维类,数据开发,"['大数据', 'Java', '算法']",3438043,2017-09-05 11:28:44
上海,CPG,上海康朴企业管理咨询有限公司,企业服务,青浦区,"六险一金,免费班车,福利补贴",30k-40k,1-3年,高级数据分析师,产品/需求/项目类,数据分析,"['数据挖掘', 'SPSS']",3570526,2017-09-15 16:23:45
上海,UCloud,上海优刻得信息科技有限公司,"数据服务,企业服务",杨浦区,"弹性工作,D轮融资,奖金丰厚,技术挑战大",10k-20k,1-3年,TPL-数据分析工程师,产品/需求/项目类,数据分析,"['SQL', 'SPSS', 'sas']",3525890,2017-09-13 10:13:02
上海,掌门1对1在线教育,上海翼师网络科技有限公司,"移动互联网,教育",虹口区,"气氛佳,团队好,晋升空间大",6k-9k,1-3年,数据分析专员,市场/商务/销售类,市场/营销,"['SPSS', 'sas']",3591580,2017-09-13 14:03:11
上海,通联数据,通联数据股份公司,金融,虹口区,"福利待遇好,团队氛围好",20k-40k,不限,数据分析工程师,开发/测试/运维类,数据开发,"['金融', '大数据']",2738731,2017-09-12 18:40:14
上海,同界,上海同界商务咨询有限公司,"数据服务,广告营销",徐汇区,数据分析,8k-12k,1-3年,数据分析师,产品/需求/项目类,数据分析,"['高级', '大数据', '数据挖掘']",3418864,2017-09-16 21:25:53
上海,四卜格,上海四卜格网络科技有限公司,"移动互联网,社交网络",杨浦区,"发展机会多,薪资待遇好,公司平台大",18k-35k,3-5年,高级数据分析师,开发/测试/运维类,数据开发,"['金融', '数据挖掘', '大数据', 'SPSS']",3564371,2017-09-04 14:34:36
上海,唯智信息,唯智信息技术（上海）有限公司,"移动互联网,其他",长宁区,"团队氛围好,成长速度快",7k-13k,1-3年,数据分析师,开发/测试/运维类,数据开发,"['云计算', '中级', '数据挖掘', '数据仓库', 'SQL']",3606125,2017-09-13 19:07:33
上海,百融金服,百融（北京）金融信息服务股份有限公司,"金融,数据服务",浦东新区,"五险一金,弹性工作,福利补贴",10k-20k,1-3年,数据分析师/高级数据分析师：上海,产品/需求/项目类,数据分析,"['金融', '数据挖掘', 'SPSS', 'sas']",3119967,2017-08-25 18:26:52
上海,众谱伟信,众谱伟信,"金融,移动互联网",浦东新区,"五险一金,部门团建,节日福利",8k-15k,1-3年,数据分析岗,金融类,风控,"['建模', '大数据', '数据挖掘', '算法']",3339161,2017-09-07 11:52:56
上海,袋马科技,袋马智能科技（上海）有限公司,硬件,闵行区,"人工智能,开放性项目",10k-15k,不限,数据分析岗,开发/测试/运维类,数据开发,"['数据挖掘', '机器学习', '模式识别', '人工智能', '大数据']",2779352,2017-09-15 15:31:58
上海,达内集团,达内时代科技集团有限公司,"移动互联网,教育",浦东新区,五险一金 带薪年假 员工福利 国内外旅游,6k-8k,1-3年,数据分析专员,产品/需求/项目类,数据分析,"['大数据', 'EXCEL']",3554480,2017-09-14 18:51:20
上海,派兰数据,上海派兰数据科技有限公司,"数据服务,医疗健康",长宁区,福利好 带薪年假 弹性工作 高能TEAM,7k-9k,不限,数据分析师,技术,后端开发,['大数据'],1400917,2017-08-22 09:51:03
上海,永辉超市股份有限公司,永辉超市股份有限公司,"电子商务,O2O",徐汇区,500强公司 O2O 晋升空间大,10k-15k,1-3年,数据分析,产品/需求/项目类,产品设计/需求分析,"['用户研究', '大数据']",2671623,2017-09-04 15:08:11
上海,饿了么,拉扎斯网络科技（上海）有限公司,移动互联网,普陀区,大平台，新技术。,15k-25k,3-5年,数据分析产品经理,产品/需求/项目类,产品设计/需求分析,['大数据'],2807187,2017-09-13 11:08:28
